,FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
204,Engine 165/Ladder 85,3067 Richmond Road,Staten Island,10306.0,40.575827000000004,-74.123727,2.0,50.0,181.0,5023532.0,5009490001.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
205,Engine 157/Ladder 80,1573 Castleton Avenue,Staten Island,10302.0,40.636052,-74.135343,1.0,49.0,207.0,5025442.0,5010800002.0,Port Richmond                                                              
206,Engine 158,65 Harbor Road,Staten Island,10303.0,40.635546999999995,-74.160224,1.0,49.0,223.0,5027755.0,5012270025.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
207,Engine 166/Ladder 86,1400 Richmond Avenue,Staten Island,10314.0,40.614265,-74.157735,2.0,50.0,29104.0,5031692.0,5016120005.0,New Springville-Bloomfield-Travis                                          
208,Engine 154/District Office 8/ Staten Island Borough Command,3730 Victory Boulevard,Staten Island,10314.0,40.598213,-74.180462,2.0,50.0,29102.0,5041882.0,5026650025.0,New Springville-Bloomfield-Travis                                          
209,Engine 152/Battalion 21,256 Hylan Boulevard,Staten Island,10305.0,40.611872999999996,-74.07046700000001,1.0,49.0,8.0,5042846.0,5028560015.0,Stapleton-Rosebank                                                         
210,Engine 161/Ladder 81,278 Mc Clean Avenue,Staten Island,10305.0,40.596826,-74.070138,2.0,50.0,74.0,5045654.0,5031080025.0,Grasmere-Arrochar-Ft. Wadsworth                                            
211,Engine 160/Rescue 5/Division 8,1850 Clove Road,Staten Island,10304.0,40.607485,-74.089111,2.0,50.0,50.0,5046179.0,5031530038.0,Grasmere-Arrochar-Ft. Wadsworth                                            
212,Engine 159,1592 Richmond Road,Staten Island,10304.0,40.590934999999995,-74.100895,2.0,50.0,9602.0,5048682.0,5033060008.0,Old Town-Dongan Hills-South Beach                                          
213,Engine 162/Ladder 82/Battalion 23,256 Nelson Avenue,Staten Island,10308.0,40.543205,-74.147097,3.0,51.0,15601.0,5067428.0,5052710031.0,Great Kills                                                                
214,Engine 167/Ladder 87,345 Annadale Road,Staten Island,10312.0,40.554173999999996,-74.175809,3.0,51.0,17012.0,5075428.0,5056420006.0,Annadale-Huguenot-Prince's Bay-Eltingville                                 
215,Engine 164/Ladder 84,1560 Drumgoole Road West,Staten Island,10312.0,40.535332000000004,-74.195611,3.0,51.0,20804.0,5083491.0,5068280065.0,Rossville-Woodrow                                                          
216,Engine 168/EMS Station 23,1100 Rossville Avenue,Staten Island,10309.0,40.553977,-74.212812,3.0,51.0,20801.0,5154879.0,5070670252.0,Rossville-Woodrow                                                          
217,Engine 151/Ladder 76,7219 Amboy Road,Staten Island,10307.0,40.512518,-74.238822,3.0,51.0,248.0,5089056.0,5080400010.0,Charleston-Richmond Valley-Tottenville                                     
